CODOD13,"CODO CONDUIT P/D 13mm (1/2"""")",14.46,16.87,PZ
CODOD19,"CODO CONDUIT P/D 19mm (3/4"""")",20.484,23.898,PZ
CODOD25,"CODO CONDUIT P/D 25mm (1"""")",43.74,51.03,PZ
CODOD32,"CODO CONDUIT P/D 32mm (1-1/4"""")",77.856,38.928,PZ
CODOD38,"CODO CONDUIT P/D 38mm (1-1/2"""")",89.832,44.916,PZ
CODOD51,"CODO CONDUIT P/D 51mm (2"""")",136.572,62.5955,PZ
CODOG102,"CODO CONDUIT P/G 102mm (4"""")",1108.716,480.4436,PZ
CODOG13,"CODO CONDUIT P/G 13mm (1/2"""")",24.228,28.266,PZ
CODOG19,"CODO CONDUIT P/G 19mm (3/4"""")",33.216,38.752,PZ
CODOG25,"CODO CONDUIT P/G 25mm (1"""")",55.26,64.47,PZ
CODOG32,"CODO CONDUIT P/G 32mm (1-1/4"""")",96.228,48.114,PZ
CODOG38,"CODO CONDUIT P/G 38mm (1-1/2"""")",111.18,55.59,PZ
CODOG51,"CODO CONDUIT P/G 51mm (2"""")",203.04,93.06,PZ
CODOG63,"CODO CONDUIT P/G 63mm (2-1/2"""")",467.88,214.445,PZ
CODOG75,"CODO CONDUIT P/G 75mm (3"""")",575.784,263.901,PZ
CONED13,CONECTOR CONDUIT P/D 13mm 1/2,4.404,7.707,PZ
CONED19,CONECTOR CONDUIT P/D 19mm 3/4,5.964,10.437,PZ
CONED25,"CONECTOR CONDUIT P/D 25mm 1""""",6.48,11.34,PZ
CONED32,CONECTOR CONDUIT P/D 32mm 1 1/4,18.96,22.12,PZ
CONED38,CONECTOR CONDUIT P/D 38mm 1 1/2,22.128,25.816,PZ
CONED51,"CONECTOR CONDUIT P/D 51mm 2""""",28.584,33.348,PZ
CPLED13,COPLE CONDUIT P/D 13mm (1/2),3.516,6.153,PZ
CPLED19,COPLE CONDUIT P/D 19mm (3/4),4.404,7.707,PZ
CPLED25,"COPLE CONDUIT P/D 25mm (1"""")",5.268,9.219,PZ
CPLED32,COPLE CONDUIT P/D 32mm (1 1/4),17.868,20.846,PZ
CPLED38,COPLE CONDUIT P/D 38mm (1 1/2),21.12,24.64,PZ
CPLED51,"COPLE CONDUIT P/D 51mm (2"""")",23.448,27.356,PZ
CPLEG102,"COPLE CONDUIT P/G 102mm (4"""")",332.688,152.482,PZ
CPLEG13,COPLE CONDUIT P/G 13mm (1/2),5.652,9.891,PZ
CPLEG19,COPLE CONDUIT P/G 19mm (3/4),7.548,13.209,PZ
CPLEG25,"COPLE CONDUIT P/G 25mm (1"""")",12.876,15.022,PZ
CPLEG32,COPLE CONDUIT P/G 32mm (1 1/4),28.32,33.04,PZ
CPLEG38,COPLE CONDUIT P/G 38mm (1 1/2),31.896,37.212,PZ
CPLEG51,"COPLE CONDUIT P/G 51mm (2"""")",36.384,42.448,PZ
CPLEG63,"COPLE CONDUIT P/G 63mm (2-1/2"""")",89.088,44.544,PZ
CPLEG75,"COPLE CONDUIT P/G 75mm (3"""")",135.936,62.304,PZ
TACO1.5,"TUBO P/ACOMETIDA 1-1/4"""" (32mm) X 1.50 MTS",78.636,39.318,PZ
TACO2.0,"TUBO P/ACOMETIDA 1-1/4"""" (32mm) X 2.00 MTS",135.528,62.117,PZ
TACO3.0,"TUBO P/ACOMETIDA 1-1/4"""" (32mm) X 3.00 MTS",169.32,77.605,PZ
TACO4.0,"TUBO P/ACOMETIDA 1-1/4"""" (32mm) X 4.00 MTS",211.248,96.822,PZ
TPD13,"TUBO CONDUIT P/DELG 1/2"""" (13mm) C/COPLE",60.132,30.066,PZ
TPD13SC,"TUBO CONDUIT P/DELG 1/2"""" (13mm) S/COPLE",56.616,66.052,PZ
TPD19,"TUBO CONDUIT P/DELG 3/4"""" (19mm) C/COPLE",79.896,39.948,PZ
TPD19SC,"TUBO CONDUIT P/DELG 3/4"""" (19mm) S/COPLE",75.492,37.746,PZ
TPD25,"TUBO CONDUIT P/DELG 1"""" (25mm) C/COPLE",150.336,68.904,PZ
TPD25SC,"TUBO CONDUIT P/DELG 1"""" (25mm) S/COPLE",145.068,66.4895,PZ
TPD32,"TUBO CONDUIT P/DELG 1-1/4"""" (32mm) C/COPLE",208.452,95.5405,PZ
TPD32SC,"TUBO CONDUIT P/DELG 1-1/4"""" (32mm) S/COPLE",190.596,87.3565,PZ
